STATION,STATION LONG NAME,UNIT NAME,SEASONAL MAX MW (HSL),AVAILABLE MW AFTER OUTAGE/DERATE,MW REDUCTION FROM OUTAGE/DERATE,FUEL TYPE,START,END,RESOURCE ENTITY,COUNTY
BBREEZE,BRUENNINGS BREEZE,UNIT2,108,6,102,WIND,2/16/21 8:59 PM,2/17/21 1:10 AM,BRUENNINGS BREEZE WIND FARM LLC (RE),WILLACY
HHOLLOW2,HORSE HOLLOW 2,WIND1,184,5,179,WIND,2/16/21 9:06 PM,2/20/21 12:26 AM,HORSE HOLLOW WIND II LLC (RE),TAYLOR
,,,,,,,2/16/21 9:07 PM,2/16/21 9:12 PM,,
,,,,,,,2/16/21 9:07 PM,2/16/21 9:12 PM,,
,,,,,,,2/16/21 9:07 PM,2/16/21 9:12 PM,,
,,,,,,,2/16/21 9:07 PM,2/16/21 9:12 PM,,
,,,,,,,2/16/21 9:12 PM,2/17/21 1:55 PM,,
,,,,,,,2/16/21 9:12 PM,2/17/21 1:55 PM,,
,,,,,,,2/16/21 9:12 PM,2/17/21 1:55 PM,,
,,,,,,,2/16/21 9:12 PM,2/17/21 1:55 PM,,
BUFF_GAP,BUFFALO GAP WIND FARM,UNIT1,121,20,101,WIND,2/16/21 9:14 PM,2/19/21 4:59 PM,BUFFALO GAP WIND FARM LLC (RE),TAYLOR
MIL,MILLER,MILLERG5,115,100,15,NG,2/16/21 9:17 PM,2/17/21 1:10 AM,BRAZOS ELECTRIC POWER CO OP INC (RE),PALO PINTO
PANDA_T2,PANDA TEMPLE POWER II,TMPL2ST1,334,167,167,NG,2/16/21 9:59 PM,2/16/21 10:00 PM,PANDA TEMPLE POWER II LLC (RE),BELL
,,,,,,,2/16/21 10:00 PM,2/23/21 12:00 AM,,
PANDA_T2,PANDA TEMPLE POWER II,TMPL2CT2,218,0,218,NG,2/16/21 10:00 PM,2/17/21 12:35 PM,PANDA TEMPLE POWER II LLC (RE),BELL
PANDA_T2,PANDA TEMPLE POWER II,TMPL2ST1,334,0,334,NG,2/16/21 10:00 PM,2/17/21 12:35 PM,PANDA TEMPLE POWER II LLC (RE),BELL
RTS2,RTS2 WIND PROJECT,U1,90,0,90,WIND,2/16/21 10:00 PM,2/17/21 3:45 AM,HEART OF TEXAS WIND LLC (RE),MCCULLOCH
RTS2,RTS2 WIND PROJECT,U2,90,10,80,WIND,2/16/21 10:00 PM,2/17/21 3:45 AM,HEART OF TEXAS WIND LLC (RE),MCCULLOCH
KMCHI,KIAMICHI ENERGY FACILITY,1CT101,167,112,55,NG,2/16/21 10:13 PM,2/16/21 10:22 PM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,1CT201,164,112,52,NG,2/16/21 10:13 PM,2/16/21 10:22 PM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,1ST,310,136,174,NG,2/16/21 10:13 PM,2/16/21 10:22 PM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,2CT101,170,112,58,NG,2/16/21 10:13 PM,2/16/21 10:22 PM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,2CT201,173,112,61,NG,2/16/21 10:13 PM,2/16/21 10:22 PM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,2ST,310,146,164,NG,2/16/21 10:13 PM,2/16/21 10:22 PM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,1CT101,167,164,3,NG,2/16/21 10:22 PM,2/17/21 4:12 AM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,1CT201,164,164,0,NG,2/16/21 10:22 PM,2/17/21 4:12 AM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,1ST,310,252,58,NG,2/16/21 10:22 PM,2/17/21 4:12 AM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,2CT101,170,166,4,NG,2/16/21 10:22 PM,2/17/21 4:12 AM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,2CT201,173,166,7,NG,2/16/21 10:22 PM,2/17/21 4:12 AM,KIOWA POWER PARTNERS LLC (RE),FANNIN
KMCHI,KIAMICHI ENERGY FACILITY,2ST,310,198,112,NG,2/16/21 10:22 PM,2/17/21 4:12 AM,KIOWA POWER PARTNERS LLC (RE),FANNIN
,,,,,,,2/16/21 10:27 PM,2/17/21 3:14 PM,,
,,,,,,,2/16/21 10:27 PM,2/17/21 4:05 PM,,
SHANNONW,SHANNON WIND PROJECT,UNIT_1,204,55,149,WIND,2/16/21 10:38 PM,2/17/21 2:12 AM,SHANNON WIND LLC (RE),CLAY
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT1,169,15,154,WIND,2/16/21 10:40 PM,2/17/21 2:30 AM,SAGE DRAW WIND LLC (RE),LYNN
SAGEDRAW,SAGE DRAW WIND PROJECT,UNIT2,169,15,154,WIND,2/16/21 10:40 PM,2/17/21 2:30 AM,SAGE DRAW WIND LLC (RE),LYNN
SANTACRU,SANTA CRUZ,UNIT1,151,95,56,WIND,2/16/21 11:00 PM,2/17/21 5:30 PM,CHAPMAN RANCH WIND I LLC (RE),NUECES
SANTACRU,SANTA CRUZ,UNIT2,98,65,33,WIND,2/16/21 11:00 PM,2/17/21 5:30 PM,CHAPMAN RANCH WIND I LLC (RE),NUECES
QALSW,QUAIL SWITCH,GT1,84,0,84,NG,2/16/21 11:30 PM,2/17/21 11:22 AM,QUAIL RUN ENERGY PARTNERS LP (RE),ECTOR
